#separator:tab
#html:true
#columns:Front	Back	Tags
OkHttp - HTTP Кэширование	TODO	android_interview android_libraries
Почему мы используем фреймворк внедрения зависимостей, например Dagger, в Android?	TODO	android_interview android_libraries
Как работает Dagger?	TODO	android_interview android_libraries
Как вы будете выбирать между Dagger 2 и Dagger-Hilt?	TODO	android_interview android_libraries
Что такое Component в Dagger?	TODO	android_interview android_libraries
Что такое Module в Dagger?	TODO	android_interview android_libraries
Как работает кастомная область видимости в Dagger?	TODO	android_interview android_libraries
Когда вызывать dispose и clear на CompositeDisposable в RxJava?	TODO	android_interview android_libraries
Что такое Multipart Request в Сетевых запросах?	TODO	android_interview android_libraries
App Startup Library	TODO	android_interview android_libraries
Расскажите что-нибудь о RxJava.	TODO	android_interview android_libraries
Как вы будете обрабатывать ошибки в RxJava?	TODO	android_interview android_libraries
FlatMap против Map Оператор	TODO	android_interview android_libraries
Когда использовать оператор Create и когда использовать оператор fromCallable в RxJava?	TODO	android_interview android_libraries
Когда использовать оператор defer в RxJava?	TODO	android_interview android_libraries
Как используются операторы Timer, Delay и Interval в RxJava?	TODO	android_interview android_libraries
Как сделать два сетевых вызова параллельно с использованием RxJava?	TODO	android_interview android_libraries
Расскажите разницу между Concat и Merge.	TODO	android_interview android_libraries
Объясните Subject в RxJava?	TODO	android_interview android_libraries
Какие типы Observables существуют в RxJava?	TODO	android_interview android_libraries
Как реализовать функцию поиска с использованием RxJava в вашем приложении?	TODO	android_interview android_libraries
Пагинация в RecyclerView с использованием операторов RxJava	TODO	android_interview android_libraries
Как работают библиотеки загрузки изображений Glide и Fresco в Android?	TODO	android_interview android_libraries
Разница между Schedulers.io() и Schedulers.computation() в RxJava.	TODO	android_interview android_libraries
Разработка библиотеки загрузки изображений	TODO	android_interview android_system_design
Разработка библиотеки загрузки файлов	TODO	android_interview android_system_design
Разработка WhatsApp	TODO	android_interview android_system_design
Разработка историй в Instagram	TODO	android_interview android_system_design
Разработка сетевой библиотеки	TODO	android_interview android_system_design
Разработка приложения Facebook для поиска друзей поблизости	TODO	android_interview android_system_design
Разработка библиотеки кэширования	TODO	android_interview android_system_design
Проблемы дизайна, основанные на приложениях с использованием геолокации	TODO	android_interview android_system_design
Как построить приложение с offline-first подходом? Объясните архитектуру	TODO	android_interview android_system_design
Разработка LRU кэша	TODO	android_interview android_system_design
Разработка библиотеки аналитики	TODO	android_interview android_system_design
HTTP Request vs HTTP Long-Polling vs WebSockets	TODO	android_interview android_system_design
Как работают голосовые и видеозвонки?	TODO	android_interview android_system_design
Разработка приложения Uber	TODO	android_interview android_system_design
Модульное тестирование ViewModel с Kotlin Coroutines и LiveData	TODO	android_interview android_testing
Модульное тестирование ViewModel с Kotlin Flow и StateFlow	TODO	android_interview android_testing
Что такое Espresso?	TODO	android_interview android_testing
Что такое Robolectric?	TODO	android_interview android_testing
Какие недостатки у Robolectric?	TODO	android_interview android_testing
Что такое UI-Automator?	TODO	android_interview android_testing
Объясните что такое unit тестирование	TODO	android_interview android_testing
Объясните что такое инструментальное тестирование	TODO	android_interview android_testing
Почему используется Mockito?	TODO	android_interview android_testing
Расскажите, что такое code coverage	TODO	android_interview android_testing
Что такое ADB?	TODO	android_interview android_tools_and_technologies
Что такое StrictMode?	TODO	android_interview android_tools_and_technologies
Что такое Lint? Для чего он используется?	TODO	android_interview android_tools_and_technologies
Git	TODO	android_interview android_tools_and_technologies
Firebase	TODO	android_interview android_tools_and_technologies
Как измерить время выполнения метода в Android?	TODO	android_interview android_tools_and_technologies
Можно ли получить доступ к вашей базе данных SQLite для отладки?	TODO	android_interview android_tools_and_technologies
На что нужно обратить внимание при использовании Proguard?	TODO	android_interview android_tools_and_technologies
Как использовать Memory Profiler в Android Studio?	TODO	android_interview android_tools_and_technologies
Что такое Gradle?	TODO	android_interview android_tools_and_technologies
Уменьшение размера APK	TODO	android_interview android_tools_and_technologies
Как можно ускорить сборку Gradle?	TODO	android_interview android_tools_and_technologies
Расскажите о системе сборки Gradle	TODO	android_interview android_tools_and_technologies
Расскажите о создании нескольких APK для приложения Android	TODO	android_interview android_tools_and_technologies
Для чего используется Proguard?	TODO	android_interview android_tools_and_technologies
Что такое обфускация? Для чего она используется? Что такое минификация?	TODO	android_interview android_tools_and_technologies
Как изменить некоторые параметры в приложении без обновления приложения?	TODO	android_interview android_tools_and_technologies
Почему возникают лаги в Android приложении?	<ul><li><b>Неэффективное использование ресурсов:</b> Неправильное управление памятью, чрезмерное использование CPU или неправильное использование сетевых запросов может замедлить приложение.</li><li><b>Проблемы с пользовательским интерфейсом:</b> Сложные или плохо оптимизированные анимации и интерфейс могут вызывать задержки в отклике.</li><li><b>Выполнение тяжелых операций в главном потоке:</b> Выполнение длительных операций, таких как доступ к базе данных или сетевые запросы, в главном потоке UI может привести к "зависанию" приложения.</li><li><b>Утечки памяти:</b> Утечки памяти происходят, когда объекты не освобождаются после использования, что со временем может привести к истощению доступной памяти и замедлению приложения.</li></ul>	android_interview android
Что такое Context? Зачем он используется?	<p><code>Context</code> в Android — это интерфейс, который предоставляет доступ к глобальной информации о приложении. Он используется для получения доступа к ресурсам, файловым системам, вызова активностей и служб.</p><p>Существует три типа контекста: <code>ApplicationContext</code>, <code>ActivityContext</code>, <code>BaseContext</code>.</p><p>1. <code>ApplicationContext</code> связан с жизненным циклом приложения</p><p>2. <code>ActivityContext</code> связан с жизненным циклом активности.</p><p>3. <code>BaseContext</code> в Android является базовым классом контекста (<code>Context</code>). Он используется как родительский класс для <code>ActivityContext</code> и <code>ApplicationContext</code>, предоставляя основные функции контекста, которые могут быть расширены или использованы в этих специализированных контекстах. <code>BaseContext</code> обеспечивает доступ к ресурсам и системным службам, таким как запуск активностей, взаимодействие с различными сервисами Android и управление ресурсами приложения. В контексте Android разработки, когда говорят о <code>BaseContext</code>, чаще всего имеют в виду фундаментальную функциональность контекста, на которой основаны все другие типы контекстов.</p><p>Context необходим для:</p><p>1. Доступа к базовым функциям приложения, таким как доступ к ресурсам, базам данных и настройкам.</p><p>2. Запуска других компонентов, таких как активности и службы.</p><p>3. Взаимодействия с другими приложениями.</p>	android_interview android
Назови все основные компоненты Android приложения? (4)	<p>Основные компоненты Android приложения включают:</p><p>1. <b>Activity</b> - компонент, который представляет один экран с пользовательским интерфейсом.</p><p>2. <b>Service</b> - компонент для выполнения долгосрочных операций в фоновом режиме.</p><p>3. <b>Broadcast Receiver</b> - компонент, который позволяет приложению получать и обрабатывать сообщения от других приложений или от системы. Эти сообщения могут касаться различных событий, таких как изменение состояния сети, низкий уровень заряда батареи или загрузка системы.</p><p>4. <b>Content Provider</b> - это компонент, который предоставляет доступ к данным приложения другим приложениям и компонентам. Content Providers полезны для чтения и записи данных, которые должны быть доступны другим приложениям, например, контактов, календарных событий или фотографий.</p>	android_interview android
Что такое AndroidManifest.xml?	<p><code>AndroidManifest.xml</code> — это файл в Android приложении, который содержит важную информацию о приложении для Android системы. Он объявляет конфигурацию приложения, включая его компоненты (активности, службы, получатели широковещательных сообщений, поставщики контента), требуемые разрешения, минимальный уровень API Android, используемый приложением, и другие настройки. <code>AndroidManifest.xml</code> читается системой при установке приложения, и на основе этой информации система знает, как взаимодействовать с приложением.</p>	android_interview android
Какой компонент необязательно указывать в манифесте?	<p><b>Broadcast Receiver</b> - обычно необходимо объявлять, но существует возможность динамической регистрации (в коде, а не в манифесте) для некоторых случаев использования.</p>	android_interview android
Что такое Application класс?	<p>Класс <code>Application</code> в Android представляет собой базовый класс приложения, который содержит глобальное состояние приложения. Он выполняется до того, как любой другой код приложения будет запущен, и именно здесь можно инициализировать глобальные ресурсы. Класс <code>Application</code> можно использовать для выполнения действий и настройки компонентов, которые должны быть доступны во всем приложении, например, инициализации библиотек, настройки управления сессиями или предоставления контекста для использования в других компонентах приложения.</p>	android_interview android
Как происходит запуск Android приложения?	<p> <b><i>Запуск в контексте системы</b></i>:</p><ul><li><b>Нажатие на иконку приложения</b>: Когда пользователь нажимает на иконку, запускается интент запуска (launch intent), который определяет, какое Activity должно быть запущено. Этот интент обрабатывается системным диспетчером задач (ActivityManager).</li></ul><ul><li><b>ActivityManager</b>: ActivityManager определяет, запущен ли уже процесс для этого приложения. Если процесс не запущен, система начинает процедуру его создания.</li></ul><ul><li><b>Zygote</b>: Android использует механизм под названием Zygote для запуска процессов приложений. Zygote — это предварительно загруженный демон системы, который содержит предзагруженную виртуальную машину Dalvik или ART (в зависимости от версии Android). Когда требуется создать новый процесс приложения, Zygote порождает новый процесс путем вызова fork(). Это позволяет быстро и эффективно запускать приложения, поскольку общий код и ресурсы Android уже загружены в память.</li></ul><p>  </p><p><b><i>Запуск в контексте приложения</b></i>:</p><ul><li><b>Инициализация приложения</b>: После создания процесса для приложения система загружает Application класс приложения (если он указан) и вызывает его метод onCreate(). Это самый первый код, который исполняется в рамках процесса приложения.</li></ul><ul><li><b>Запуск Activity</b>: После инициализации приложения система создает экземпляр основного Activity, указанного в интенте запуска, вызывая его метод onCreate(). Здесь приложение обычно загружает свой пользовательский интерфейс и выполняет начальную настройку.</li></ul><ul><li><b>Отображение Activity</b>: После того как Activity было создано и инициализировано, система делает его видимым для пользователя, вызывая методы onStart() и onResume(). В этот момент пользователь видит UI приложения и может с ним взаимодействовать.</li></ul>	android_interview android
Почему view нельзя обновить не из ui потока?	<p>В Android обновление пользовательского интерфейса (UI) не из основного потока (также известного как UI поток) запрещено из-за модели однопоточности, которую Android использует для управления пользовательским интерфейсом.</p>	android_interview android
Почему нельзя выполнять фоновую работу в классе Application?	<p>Выполнение тяжелой или блокирующей работы в классе Application может привести к замедлению запуска приложения и ухудшению впечатлений пользователя, поскольку это может заблокировать главный поток UI. Класс Application предназначен для инициализации глобального состояния приложения, а не для выполнения фоновой работы.</p>	android_interview android
Как появляется иконка приложения на рабочем столе и что происходит при нажатии на нее?	<p>Иконка приложения добавляется на рабочий стол (launcher screen) когда в манифесте приложения активити определено с интент-фильтром <b>ACTION.MAIN</b> и категорией <b>LAUNCHER</b>. При нажатии на иконку запускается активити, указанное как точка входа приложения.</p>	android_interview android
Что произойдет, если установить несколько активити как лаунчеры?	<p>Если установить несколько активити с интент-фильтром для лаунчера, пользователю будет предложен выбор активити для запуска при нажатии на иконку приложения. Это может быть использовано для предоставления различных точек входа в приложение</p>	android_interview android
Если бы перед вами стояла задача залогировать самую раннюю точку старта приложения, в каком месте бы вы разместили код?	<p>Самая ранняя точка, где можно разместить код логирования - это метод onCreate() класса Application. Этот метод вызывается при старте приложения до любого другого компонента (Activity, Service и т.д.).</p><p>  Но и также это может быть broadcast receiver. Broadcast Receiver регистрируется для BOOT_COMPLETED и срабатывает немедленно после его получения.</p>	android_interview android
Можно ли обновить view из не-UI потока и с чем связано это ограничение?	<p>Обновлять UI-компоненты (view) напрямую из не-UI потока нельзя из-за ограничений Android на доступ к UI-элементам только из главного потока. Для обновления UI из других потоков используются механизмы синхронизации, такие как <code>runOnUiThread()</code> или <b>Handler</b>.</p>	android_interview android
Где находится метод main() в Android приложении?	<p>В Android приложениях не используется метод <code>main()</code> в традиционном смысле, как в Java-приложениях. Вместо этого, точкой входа служит компонент Activity (или другие компоненты, такие как Service, BroadcastReceiver), который запускается системой Android, когда необходимо выполнить определенное действие (например, открыть приложение). Система Android использует манифест приложения для определения компонента, который должен быть запущен.   Если объявлен <b>Application</b>, то вызывается он.</p>	android_interview android
Почему в классе Application есть метод onCreate, но нет метода onDestroy?	<p>Метод <code>onCreate()</code> в классе Application вызывается при создании процесса приложения и служит для инициализации ресурсов, необходимых на протяжении всего существования приложения. Отсутствие <code>onDestroy()</code> объясняется тем, что процесс приложения уничтожается системой без каких-либо предупреждений, когда системе необходимо освободить ресурсы. Поэтому логика, требующая гарантированного выполнения перед завершением работы приложения, должна располагаться в других компонентах (например, в Activity или Service).</p>	android_interview android
Почему рекомендуется использовать только конструктор по умолчанию для создания Fragment?	<p>При восстановлении системой фрагментов (например, при пересоздании активности после изменения конфигурации) используется конструктор без параметров. Если вы создадите фрагмент с конструктором с параметрами и не сохраните эти параметры в onSaveInstanceState, вы можете потерять эти данные при пересоздании фрагмента, что приведет к ошибкам или непредвиденному поведению.</p>	android_interview android
Что такое Activity и его жизненный цикл?	<p>Activity - это компонент приложения, предоставляющий экран с пользовательским интерфейсом. Жизненный цикл Activity включает методы: onCreate(), onStart(), onResume(), onPause(), onStop(), onRestart(), onDestroy().</p><ul><li><b>onCreate()</b> вызывается при первом создании активности. Здесь происходит инициализация.</li><li><b>onStart()</b> вызывается, когда активность становится видимой пользователю.</li><li><b>onResume()</b> вызывается, когда активность вступает в фокус и готова к взаимодействию с пользователем.</li><li><b>onPause()</b> вызывается при переходе активности в состояние "пауза", когда она все еще видима, но уже не в фокусе.</li><li><b>onStop()</b> вызывается, когда активность больше не видна пользователю.</li><li><b>onDestroy()</b> вызывается перед тем, как активность будет уничтожена.</li><li><b>onRestart()</b> вызывается после того, как активность была остановлена и снова была запущена пользователем.</li></ul>	android_interview android
В чем разница между onCreate() и onStart()?	<p>Основное различие между onCreate() и onStart() заключается в их роли в жизненном цикле Activity: onCreate() служит для инициализации Activity и вызывается один раз, когда Activity создается, в то время как onStart() делает Activity видимым для пользователя и может вызываться многократно каждый раз, когда Activity переходит в видимое состояние.</p>	android_interview android
Когда вызывается только onDestroy для Activity без onPause() и onStop()?	<p>Это может произойти в крайне редких случаях, например, если система уничтожает процесс приложения для освобождения ресурсов в условиях нехватки памяти. В обычной ситуации onPause() и onStop() всегда вызываются перед onDestroy().</p>	android_interview android
Почему нам нужно вызывать setContentView() в onCreate() класса Activity?	<p>setContentView() устанавливает макет пользовательского интерфейса для активности и должен быть вызван в onCreate(), чтобы до начала взаимодействия с пользователем активность имела загруженный и готовый интерфейс.</p>	android_interview android
Что нельзя делать в onCreate?	<ul><li>Длительные операции, такие как сетевые запросы или обращение к базе данных, так как это может привести к "зависанию" приложения. Такие операции следует выполнять асинхронно.</li><li>Изменение конфигурации, не связанной с инициализацией UI, которая может быть выполнена в других методах жизненного цикла.</li></ul>	android_interview android
Что такое onSaveInstanceState() и onRestoreInstanceState() в Activity?	<ul><li><code>onSaveInstanceState()</code> - Этот метод используется для сохранения данных перед паузой <code>Activity</code>.</li><li><code>onRestoreInstanceState()</code> - Этот метод используется для восстановления сохраненного состояния <code>Activity</code>, когда <code>Activity</code> пересоздается после уничтожения. Таким образом, <code>onRestoreInstanceState()</code> получает пакет, который содержит информацию о состоянии экземпляра.</li></ul>	android_interview android
Какие launch modes существуют для активити?	<ul><li><b>standard</b>: Запускает активити в новом экземпляре каждый раз.</li><li><b>singleTop</b>: Если экземпляр активити уже находится на вершине стека, он не создается заново, и вместо этого получает интент.</li><li><b>singleTask</b>: Создает новый задачный стек и запускает активити в новом экземпляре в этом стеке, но если активити уже существует в любом стеке, система очищает стек до этого активити и отправляет интент.</li><li><b>singleInstance</b>: Активити запускается в новом задачном стеке, но с гарантией того, что никакие другие активити не будут запущены в этом стеке.</li></ul>	android_interview android
Что такое Fragment и его жизненный цикл?	<p><code>Fragment</code> – это компонент приложения, который имеет свой жизненный цикл, получает события ввода и может быть добавлен в активность. Жизненный цикл фрагмента включает такие методы, как onAttach(), onCreate(), onCreateView(), onActivityCreated(), onStart(), onResume(), onPause(), onStop(), onDestroyView(), onDestroy(), onDetach():</p><ul><li><b>onAttach()</b> - вызывается, когда фрагмент связывается с активностью.</li><li><b>onCreate()</b> - система вызывает этот метод, когда создает фрагмент. Создайте здесь компоненты, которые необходимы вне видимости пользователя.</li><li><b>onCreateView()</b> - вызывается для создания макета фрагмента. В этом методе вы должны создать и вернуть макет фрагмента.</li><li><b>onViewCreated()</b> - Вызывается сразу после onCreateView(), когда представление фрагмента уже создано. Это хорошее место для инициализации представлений.</li><li><b>onActivityCreated()</b> - вызывается, когда активность, к которой прикреплен фрагмент, завершила свой метод onCreate().</li><li><b>onStart()</b> - вызывается, когда фрагмент становится видимым.</li><li><b>onResume()</b> - вызывается, когда фрагмент получает фокус и может взаимодействовать с пользователем.</li><li><b>onPause()</b> - вызывается, когда пользователь теряет фокус на фрагменте, и можно сохранить изменения или обновления.</li><li><b>onStop()</b> - вызывается, когда фрагмент больше не видим.</li><li><b>onDestroyView()</b> - вызывается при удалении макета фрагмента.</li><li><b>onDestroy()</b> - вызывается при уничтожении фрагмента.</li><li><b>onDetach()</b> - вызывается, когда фрагмент отсоединяется от активности.</li></ul>	android_interview android
